order_name,family_name,datetime,individuals,tempmax,tempmin,temp_daily,humidity
COLEOPTERA,CARABIDAE,37822,2,76.9,60.9,69.9,69.9
COLEOPTERA,CARABIDAE,36698,3,86,64.1,75.6,67.5
COLEOPTERA,CARABIDAE,39243,1,81.7,60.4,71.9,55.4
COLEOPTERA,CARABIDAE,33787,1,71.2,58.8,65.5,59.2
COLEOPTERA,CARABIDAE,34112,1,73.3,55.2,63.3,66.8
COLEOPTERA,CARABIDAE,34893,1,78.9,59.1,68.1,70.5
COLEOPTERA,CARABIDAE,35271,1,76.6,57.1,63.8,74.2
COLEOPTERA,CARABIDAE,35584,1,71.7,49.6,60.5,65.7
COLEOPTERA,CARABIDAE,36656,1,77,44.8,59.5,62.1
COLEOPTERA,CARABIDAE,37080,2,85.8,70.4,76.7,77.8
COLEOPTERA,CARABIDAE,37781,1,63.6,57.7,60.4,83.6
COLEOPTERA,CARABIDAE,37822,1,76.9,60.9,69.9,69.9
COLEOPTERA,CARABIDAE,38904,1,84.5,64.2,75.1,56.4
COLEOPTERA,CARABIDAE,39243,8,81.7,60.4,71.9,55.4
COLEOPTERA,CARABIDAE,39663,1,75.3,62.7,67.6,67.3
COLEOPTERA,CARABIDAE,40004,1,61.1,53.8,57.8,82.5
COLEOPTERA,CARABIDAE,37425,1,80.5,62.9,71.2,76.6
COLEOPTERA,CARABIDAE,37080,1,85.8,70.4,76.7,77.8
COLEOPTERA,CARABIDAE,38543,1,81.8,61.9,71.5,67.6
COLEOPTERA,CARABIDAE,38193,1,60.7,53.1,57.4,91.8
COLEOPTERA,CARABIDAE,38200,1,73.2,60.1,67.3,79.5
COLEOPTERA,CARABIDAE,38881,1,79.6,59.9,71.1,55.6
COLEOPTERA,CARABIDAE,34542,1,82.5,66.3,74.7,67
COLEOPTERA,CARABIDAE,38893,1,76.6,57.2,67.6,64.3
COLEOPTERA,CARABIDAE,39243,1,81.7,60.4,71.9,55.4
COLEOPTERA,CARABIDAE,33808,1,71.4,55.5,64.2,63.1
COLEOPTERA,CARABIDAE,33836,1,69.9,50.8,61.6,60.5
COLEOPTERA,CARABIDAE,34164,1,62.7,47.6,56.3,68
COLEOPTERA,CARABIDAE,34532,1,68.7,51.9,62,57.4
COLEOPTERA,CARABIDAE,34536,1,78.9,56.8,70.2,57.8
COLEOPTERA,CARABIDAE,34539,4,82.5,59.1,72.2,61.8
COLEOPTERA,CARABIDAE,34541,3,85.6,66.1,74.1,65.4
COLEOPTERA,CARABIDAE,34542,1,82.5,66.3,74.7,67
COLEOPTERA,CARABIDAE,34555,1,78.2,59.1,70.2,66.7
COLEOPTERA,CARABIDAE,34877,1,69.9,57.3,63.7,54.5
COLEOPTERA,CARABIDAE,34893,10,78.9,59.1,68.1,70.5
COLEOPTERA,CARABIDAE,34897,2,71.5,59.1,65.1,73.8
COLEOPTERA,CARABIDAE,34900,3,77.3,57.1,67.3,78
COLEOPTERA,CARABIDAE,34901,3,82.5,62.7,72.6,76
COLEOPTERA,CARABIDAE,34910,7,82.5,58.2,71.1,61.8
COLEOPTERA,CARABIDAE,34913,1,82,62,71.6,61.8
COLEOPTERA,CARABIDAE,34914,1,77.3,58.9,69.3,72.7
COLEOPTERA,CARABIDAE,34916,3,79.2,62.2,69.9,74.3
COLEOPTERA,CARABIDAE,34917,2,79.4,60.4,70.2,67.9
COLEOPTERA,CARABIDAE,34927,2,76.9,59.1,67.5,70.1
COLEOPTERA,CARABIDAE,34931,1,80.7,60.7,71,71.2
COLEOPTERA,CARABIDAE,34984,1,57.2,48.5,53.6,89.1
COLEOPTERA,CARABIDAE,35269,2,72.4,56.7,64.2,67.4
COLEOPTERA,CARABIDAE,35271,2,76.6,57.1,63.8,74.2
COLEOPTERA,CARABIDAE,35295,8,78.4,54.1,66.1,68.1
COLEOPTERA,CARABIDAE,35614,2,71.8,58.6,64.8,79.9
COLEOPTERA,CARABIDAE,35617,2,66.3,55,61.2,74.3
COLEOPTERA,CARABIDAE,35621,2,75.5,54.8,65.9,68.8
COLEOPTERA,CARABIDAE,35624,1,71.2,56.9,64.5,66.5
COLEOPTERA,CARABIDAE,35632,15,78.9,60.9,68.3,66.5
COLEOPTERA,CARABIDAE,35634,8,71.7,57.3,64.5,81.9
COLEOPTERA,CARABIDAE,35635,6,73,60.9,65.8,80.9
COLEOPTERA,CARABIDAE,35638,3,68.4,56.8,61.7,88.1
COLEOPTERA,CARABIDAE,35642,1,66.4,58.3,62.6,81.1
COLEOPTERA,CARABIDAE,35645,18,74.9,60.1,67.4,74.2
COLEOPTERA,CARABIDAE,35649,30,77.3,60.3,69.6,67.8
COLEOPTERA,CARABIDAE,35655,15,83.2,60.4,72.3,67.5
COLEOPTERA,CARABIDAE,35659,6,79.6,59.1,70.8,71.1
COLEOPTERA,CARABIDAE,35663,3,79.8,63.7,72.2,64.5
COLEOPTERA,CARABIDAE,35673,1,75.3,53.9,64.8,76.1
COLEOPTERA,CARABIDAE,35975,2,64.7,51.9,58.5,81
COLEOPTERA,CARABIDAE,35997,200,75.8,56.3,67.8,77.5
COLEOPTERA,CARABIDAE,35999,43,71.8,55,64,82
COLEOPTERA,CARABIDAE,36009,6,66.5,51.9,58.6,85
COLEOPTERA,CARABIDAE,36013,1,65.9,55.7,59.6,81.5
COLEOPTERA,CARABIDAE,36018,2,69.7,56.9,62.2,78.9
COLEOPTERA,CARABIDAE,36025,24,67.9,57.1,62.3,75.2
COLEOPTERA,CARABIDAE,36345,3,75.3,60.4,66.3,83.1
COLEOPTERA,CARABIDAE,36347,1,65.3,59.1,62.9,82.4
COLEOPTERA,CARABIDAE,36352,7,80,54.2,69.1,62.2
COLEOPTERA,CARABIDAE,36360,5,76.4,55.5,67.8,77.3
COLEOPTERA,CARABIDAE,36362,1,71.7,57.3,65.6,81
COLEOPTERA,CARABIDAE,36377,3,79.3,56,68.2,67.4
COLEOPTERA,CARABIDAE,36380,1,68.1,60.9,64.1,94.5
COLEOPTERA,CARABIDAE,36382,1,73.7,57.3,66.3,83.5
COLEOPTERA,CARABIDAE,36401,1,70.1,51.9,61.1,85.4
COLEOPTERA,CARABIDAE,36698,17,86,64.1,75.6,67.5
COLEOPTERA,CARABIDAE,36713,1,62.6,55.7,59.3,76.2
COLEOPTERA,CARABIDAE,36727,1,67,55.2,60,79.7
COLEOPTERA,CARABIDAE,36731,10,71.7,54.7,63.3,80.3
COLEOPTERA,CARABIDAE,36734,1,70.6,54,62.1,82.5
COLEOPTERA,CARABIDAE,36737,1,66.9,55.7,61.1,85.9
COLEOPTERA,CARABIDAE,36739,1,68.3,53.7,60.4,88.3
COLEOPTERA,CARABIDAE,36795,2,57.3,51,53.5,91.4
COLEOPTERA,CARABIDAE,37069,1,78.3,52.9,67.5,62.5
COLEOPTERA,CARABIDAE,37080,1,85.8,70.4,76.7,77.8
COLEOPTERA,CARABIDAE,37095,1,73.5,61.2,67.1,75.5
COLEOPTERA,CARABIDAE,37097,2,79.6,60.1,70.6,69.2
COLEOPTERA,CARABIDAE,37101,1,77.3,61.9,69.5,77
